Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Genesis time-varied - Peak",0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026
"Genesis time-varied - Off Peak",0.2172,0.2172,0.2172,0.2172,0.2172,0.2172,0.2172,0.2172,0.2172,0.2172,0.2172,0.2172
