hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.16,0.048,0.0,0.0,0.0
1,0.83,0.249,0.0,0.0,0.0
2,0.13,0.039,0.0,0.0,0.0
3,0.08,0.024,0.0,0.0,0.0
4,0.09,0.027,0.0,0.0,0.0
5,0.07,0.021,0.0,0.0,0.0
6,1.8,0.541,0.0,0.0,0.0
7,3.8,1.142,0.0,0.0,0.0
8,0.87,0.261,0.0,0.0,0.0
9,0.62,0.186,0.0,0.0,0.0
10,0.63,0.189,0.0,0.0,0.0
11,0.06,0.018,0.0,0.0,0.0
12,0.07,0.021,0.0,0.0,0.0
13,0.6,0.18,0.0,0.0,0.0
14,0.06,0.018,0.0,0.0,0.0
15,0.06,0.018,0.0,0.0,0.0
16,0.07,0.021,0.0,0.0,0.0
17,0.07,0.021,0.0,0.0,0.0
18,1.33,0.4,0.0,0.0,0.0
19,0.3,0.09,0.0,0.0,0.0
20,2.89,0.868,0.0,0.0,0.0
21,4.79,1.44,0.0,0.0,0.0
22,4.11,1.235,0.0,0.0,0.0
23,0.66,0.198,0.0,0.0,0.0
