hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,1.13,0.348,0.0,0.0,0.0
1,0.46,0.142,0.0,0.0,0.0
2,0.46,0.142,0.0,0.0,0.0
3,0.5,0.154,0.0,0.0,0.0
4,0.52,0.16,0.0,0.0,0.0
5,0.52,0.16,0.0,0.0,0.0
6,1.15,0.354,0.0,0.0,0.0
7,1.43,0.441,0.0,0.0,0.0
8,1.11,0.342,0.0,0.0,0.0
9,0.5,0.154,0.0,0.0,0.0
10,1.1,0.339,0.0,0.0,0.0
11,1.47,0.453,0.0,0.0,0.0
12,0.47,0.145,0.0,0.0,0.0
13,0.47,0.145,0.0,0.0,0.0
14,1.0,0.308,0.0,0.0,0.0
15,0.47,0.145,0.0,0.0,0.0
16,0.47,0.145,0.0,0.0,0.0
17,0.43,0.133,0.0,0.0,0.0
18,0.35,0.107,0.0,0.0,0.0
19,0.91,0.28,0.0,0.0,0.0
20,1.63,0.502,0.0,0.0,0.0
21,3.76,1.158,0.0,0.0,0.0
22,1.01,0.311,0.0,0.0,0.0
23,0.21,0.065,0.0,0.0,0.0
