hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.16,0.048,0.0,0.0,0.0
1,0.08,0.024,0.0,0.0,0.0
2,0.66,0.2,0.0,0.0,0.0
3,0.08,0.024,0.0,0.0,0.0
4,0.08,0.024,0.0,0.0,0.0
5,0.09,0.027,0.0,0.0,0.0
6,0.75,0.227,0.0,0.0,0.0
7,0.19,0.057,0.0,0.0,0.0
8,0.36,0.108,0.0,0.0,0.0
9,0.3,0.09,0.0,0.0,0.0
10,0.52,0.158,0.0,0.0,0.0
11,1.42,0.429,0.0,0.0,0.0
12,0.46,0.139,0.0,0.0,0.0
13,1.17,0.354,0.0,0.0,0.0
14,0.46,0.14,0.0,0.0,0.0
15,1.4,0.424,0.0,0.0,0.0
16,1.1,0.332,0.0,0.0,0.0
17,2.54,0.768,0.0,0.0,0.0
18,5.13,1.551,0.0,0.0,0.0
19,1.56,0.472,0.0,0.0,0.0
20,1.63,0.493,0.0,0.0,0.0
21,1.09,0.329,0.0,0.0,0.0
22,1.66,0.502,0.0,0.0,0.0
23,0.43,0.13,0.0,0.0,0.0
