hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.23,0.075,0.0,0.0,0.0
1,0.18,0.059,0.0,0.0,0.0
2,0.72,0.235,0.0,0.0,0.0
3,0.23,0.075,0.0,0.0,0.0
4,0.22,0.072,0.0,0.0,0.0
5,0.23,0.075,0.0,0.0,0.0
6,0.23,0.075,0.0,0.0,0.0
7,0.25,0.082,0.0,0.0,0.0
8,0.36,0.118,0.0,0.0,0.0
9,2.17,0.71,0.0,0.0,0.0
10,0.28,0.091,0.0,0.0,0.0
11,0.17,0.055,0.0,0.0,0.0
12,0.84,0.274,0.0,0.0,0.0
13,0.41,0.134,0.0,0.0,0.0
14,0.43,0.141,0.0,0.0,0.0
15,0.92,0.301,0.0,0.0,0.0
16,0.26,0.085,0.0,0.0,0.0
17,1.14,0.373,0.0,0.0,0.0
18,3.05,0.997,0.0,0.0,0.0
19,1.69,0.552,0.0,0.0,0.0
20,2.36,0.771,0.0,0.0,0.0
21,2.22,0.725,0.0,0.0,0.0
22,0.27,0.088,0.0,0.0,0.0
23,0.16,0.053,0.0,0.0,0.0
