hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.1,0.039,0.0,0.0,0.0
1,0.8,0.311,0.0,0.0,0.0
2,0.09,0.035,0.0,0.0,0.0
3,0.1,0.038,0.0,0.0,0.0
4,0.09,0.035,0.0,0.0,0.0
5,0.09,0.035,0.0,0.0,0.0
6,0.69,0.269,0.0,0.0,0.0
7,1.12,0.437,0.0,0.0,0.0
8,0.18,0.07,0.0,0.0,0.0
9,0.2,0.078,0.0,0.0,0.0
10,3.49,1.359,0.0,0.0,0.0
11,0.48,0.187,0.0,0.0,0.0
12,0.18,0.07,0.0,0.0,0.0
13,1.31,0.511,0.0,0.0,0.0
14,0.43,0.167,0.0,0.0,0.0
15,0.77,0.3,0.0,0.0,0.0
16,0.19,0.074,0.0,0.0,0.0
17,0.18,0.07,0.0,0.0,0.0
18,0.7,0.273,0.0,0.0,0.0
19,0.63,0.246,0.0,0.0,0.0
20,0.82,0.319,0.0,0.0,0.0
21,1.68,0.655,0.0,0.0,0.0
22,0.13,0.05,0.0,0.0,0.0
23,0.69,0.269,0.0,0.0,0.0
