hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.41,0.423,0.0,0.0,0.0
1,0.07,0.072,0.0,0.0,0.0
2,0.07,0.072,0.0,0.0,0.0
3,0.07,0.072,0.0,0.0,0.0
4,0.06,0.062,0.0,0.0,0.0
5,0.07,0.072,0.0,0.0,0.0
6,0.07,0.072,0.0,0.0,0.0
7,0.07,0.072,0.0,0.0,0.0
8,0.07,0.072,0.0,0.0,0.0
9,0.07,0.072,0.0,0.0,0.0
10,0.08,0.082,0.0,0.0,0.0
11,0.08,0.082,0.0,0.0,0.0
12,0.95,0.979,0.0,0.0,0.0
13,0.07,0.072,0.0,0.0,0.0
14,0.07,0.072,0.0,0.0,0.0
15,0.07,0.072,0.0,0.0,0.0
16,0.07,0.072,0.0,0.0,0.0
17,0.07,0.072,0.0,0.0,0.0
18,0.07,0.072,0.0,0.0,0.0
19,0.06,0.062,0.0,0.0,0.0
20,0.07,0.072,0.0,0.0,0.0
21,0.07,0.072,0.0,0.0,0.0
22,0.07,0.072,0.0,0.0,0.0
23,0.07,0.072,0.0,0.0,0.0
