hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.13,0.06,0.0,0.0,0.0
1,0.73,0.339,0.0,0.0,0.0
2,0.15,0.069,0.0,0.0,0.0
3,0.15,0.069,0.0,0.0,0.0
4,0.14,0.065,0.0,0.0,0.0
5,0.72,0.333,0.0,0.0,0.0
6,0.15,0.07,0.0,0.0,0.0
7,0.12,0.056,0.0,0.0,0.0
8,0.12,0.056,0.0,0.0,0.0
9,0.12,0.055,0.0,0.0,0.0
10,0.11,0.051,0.0,0.0,0.0
11,0.74,0.343,0.0,0.0,0.0
12,0.12,0.056,0.0,0.0,0.0
13,0.13,0.06,0.0,0.0,0.0
14,0.7,0.324,0.0,0.0,0.0
15,1.09,0.504,0.0,0.0,0.0
16,0.22,0.102,0.0,0.0,0.0
17,0.23,0.107,0.0,0.0,0.0
18,0.22,0.102,0.0,0.0,0.0
19,0.18,0.083,0.0,0.0,0.0
20,1.16,0.537,0.0,0.0,0.0
21,2.79,1.293,0.0,0.0,0.0
22,0.46,0.213,0.0,0.0,0.0
23,0.23,0.106,0.0,0.0,0.0
