hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.12,0.043,0.0,0.0,0.0
1,0.09,0.032,0.0,0.0,0.0
2,0.1,0.036,0.0,0.0,0.0
3,0.09,0.032,0.0,0.0,0.0
4,0.68,0.246,0.0,0.0,0.0
5,0.12,0.043,0.0,0.0,0.0
6,0.39,0.141,0.0,0.0,0.0
7,1.18,0.426,0.0,0.0,0.0
8,1.98,0.716,0.0,0.0,0.0
9,0.06,0.022,0.0,0.0,0.0
10,0.07,0.025,0.0,0.0,0.0
11,0.65,0.235,0.0,0.0,0.0
12,0.07,0.025,0.0,0.0,0.0
13,0.07,0.025,0.0,0.0,0.0
14,0.07,0.025,0.0,0.0,0.0
15,0.61,0.22,0.0,0.0,0.0
16,0.07,0.025,0.0,0.0,0.0
17,0.07,0.025,0.0,0.0,0.0
18,0.07,0.025,0.0,0.0,0.0
19,3.36,1.215,0.0,0.0,0.0
20,2.72,0.983,0.0,0.0,0.0
21,1.08,0.391,0.0,0.0,0.0
22,0.43,0.155,0.0,0.0,0.0
23,0.75,0.271,0.0,0.0,0.0
