hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.69,0.243,0.0,0.0,0.0
1,0.13,0.046,0.0,0.0,0.0
2,0.12,0.043,0.0,0.0,0.0
3,0.13,0.046,0.0,0.0,0.0
4,0.68,0.239,0.0,0.0,0.0
5,0.13,0.046,0.0,0.0,0.0
6,0.44,0.155,0.0,0.0,0.0
7,2.5,0.877,0.0,0.0,0.0
8,1.8,0.631,0.0,0.0,0.0
9,0.11,0.039,0.0,0.0,0.0
10,0.12,0.042,0.0,0.0,0.0
11,0.7,0.246,0.0,0.0,0.0
12,0.11,0.039,0.0,0.0,0.0
13,0.11,0.039,0.0,0.0,0.0
14,0.12,0.043,0.0,0.0,0.0
15,0.17,0.06,0.0,0.0,0.0
16,0.66,0.232,0.0,0.0,0.0
17,0.22,0.077,0.0,0.0,0.0
18,0.11,0.039,0.0,0.0,0.0
19,0.73,0.256,0.0,0.0,0.0
20,0.43,0.151,0.0,0.0,0.0
21,2.57,0.901,0.0,0.0,0.0
22,2.44,0.856,0.0,0.0,0.0
23,0.14,0.049,0.0,0.0,0.0
