hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.68,0.276,0.0,0.0,0.0
1,0.08,0.032,0.0,0.0,0.0
2,0.08,0.032,0.0,0.0,0.0
3,0.08,0.032,0.0,0.0,0.0
4,0.07,0.028,0.0,0.0,0.0
5,0.08,0.032,0.0,0.0,0.0
6,0.66,0.267,0.0,0.0,0.0
7,0.07,0.028,0.0,0.0,0.0
8,0.15,0.06,0.0,0.0,0.0
9,0.25,0.102,0.0,0.0,0.0
10,0.31,0.126,0.0,0.0,0.0
11,1.73,0.702,0.0,0.0,0.0
12,1.11,0.45,0.0,0.0,0.0
13,1.27,0.515,0.0,0.0,0.0
14,0.38,0.154,0.0,0.0,0.0
15,0.36,0.146,0.0,0.0,0.0
16,0.66,0.268,0.0,0.0,0.0
17,0.28,0.113,0.0,0.0,0.0
18,1.28,0.519,0.0,0.0,0.0
19,0.35,0.142,0.0,0.0,0.0
20,0.5,0.203,0.0,0.0,0.0
21,0.16,0.065,0.0,0.0,0.0
22,0.13,0.052,0.0,0.0,0.0
23,0.88,0.357,0.0,0.0,0.0
