hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.23,0.085,0.0,0.0,0.0
1,0.96,0.354,0.0,0.0,0.0
2,0.09,0.033,0.0,0.0,0.0
3,0.09,0.033,0.0,0.0,0.0
4,0.08,0.029,0.0,0.0,0.0
5,0.08,0.03,0.0,0.0,0.0
6,0.95,0.351,0.0,0.0,0.0
7,2.11,0.779,0.0,0.0,0.0
8,0.06,0.022,0.0,0.0,0.0
9,0.07,0.026,0.0,0.0,0.0
10,0.64,0.236,0.0,0.0,0.0
11,0.07,0.026,0.0,0.0,0.0
12,0.08,0.03,0.0,0.0,0.0
13,0.08,0.03,0.0,0.0,0.0
14,0.07,0.026,0.0,0.0,0.0
15,0.07,0.026,0.0,0.0,0.0
16,0.63,0.232,0.0,0.0,0.0
17,0.08,0.029,0.0,0.0,0.0
18,0.07,0.026,0.0,0.0,0.0
19,0.24,0.089,0.0,0.0,0.0
20,1.21,0.446,0.0,0.0,0.0
21,0.58,0.214,0.0,0.0,0.0
22,2.98,1.1,0.0,0.0,0.0
23,2.03,0.749,0.0,0.0,0.0
