hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.17,0.06,0.0,0.0,0.0
1,0.19,0.068,0.0,0.0,0.0
2,0.18,0.064,0.0,0.0,0.0
3,0.73,0.259,0.0,0.0,0.0
4,0.18,0.064,0.0,0.0,0.0
5,0.18,0.064,0.0,0.0,0.0
6,0.46,0.164,0.0,0.0,0.0
7,3.12,1.11,0.0,0.0,0.0
8,2.55,0.907,0.0,0.0,0.0
9,0.16,0.056,0.0,0.0,0.0
10,0.17,0.06,0.0,0.0,0.0
11,0.89,0.316,0.0,0.0,0.0
12,0.17,0.06,0.0,0.0,0.0
13,0.17,0.06,0.0,0.0,0.0
14,0.17,0.06,0.0,0.0,0.0
15,0.74,0.263,0.0,0.0,0.0
16,0.17,0.06,0.0,0.0,0.0
17,0.17,0.06,0.0,0.0,0.0
18,1.83,0.65,0.0,0.0,0.0
19,3.16,1.124,0.0,0.0,0.0
20,2.28,0.811,0.0,0.0,0.0
21,0.42,0.149,0.0,0.0,0.0
22,0.32,0.113,0.0,0.0,0.0
23,0.74,0.263,0.0,0.0,0.0
