hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.14,0.053,0.0,0.0,0.0
1,0.11,0.042,0.0,0.0,0.0
2,0.12,0.045,0.0,0.0,0.0
3,0.68,0.256,0.0,0.0,0.0
4,0.12,0.046,0.0,0.0,0.0
5,0.12,0.046,0.0,0.0,0.0
6,0.35,0.132,0.0,0.0,0.0
7,1.8,0.676,0.0,0.0,0.0
8,3.13,1.175,0.0,0.0,0.0
9,0.17,0.064,0.0,0.0,0.0
10,0.16,0.06,0.0,0.0,0.0
11,0.75,0.282,0.0,0.0,0.0
12,0.17,0.064,0.0,0.0,0.0
13,0.17,0.064,0.0,0.0,0.0
14,0.17,0.064,0.0,0.0,0.0
15,0.74,0.278,0.0,0.0,0.0
16,0.17,0.064,0.0,0.0,0.0
17,0.17,0.064,0.0,0.0,0.0
18,0.17,0.064,0.0,0.0,0.0
19,0.67,0.252,0.0,0.0,0.0
20,2.03,0.762,0.0,0.0,0.0
21,3.65,1.37,0.0,0.0,0.0
22,1.22,0.458,0.0,0.0,0.0
23,0.34,0.128,0.0,0.0,0.0
