hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.14,0.046,0.0,0.0,0.0
1,0.13,0.043,0.0,0.0,0.0
2,0.12,0.04,0.0,0.0,0.0
3,0.68,0.223,0.0,0.0,0.0
4,0.13,0.043,0.0,0.0,0.0
5,0.13,0.043,0.0,0.0,0.0
6,0.13,0.043,0.0,0.0,0.0
7,0.12,0.04,0.0,0.0,0.0
8,0.12,0.04,0.0,0.0,0.0
9,0.15,0.049,0.0,0.0,0.0
10,0.7,0.23,0.0,0.0,0.0
11,0.47,0.154,0.0,0.0,0.0
12,0.24,0.079,0.0,0.0,0.0
13,1.68,0.551,0.0,0.0,0.0
14,0.35,0.114,0.0,0.0,0.0
15,1.02,0.335,0.0,0.0,0.0
16,0.39,0.128,0.0,0.0,0.0
17,1.97,0.645,0.0,0.0,0.0
18,1.3,0.425,0.0,0.0,0.0
19,1.55,0.507,0.0,0.0,0.0
20,3.84,1.257,0.0,0.0,0.0
21,1.82,0.596,0.0,0.0,0.0
22,0.34,0.112,0.0,0.0,0.0
23,0.84,0.275,0.0,0.0,0.0
