hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.13,0.052,0.0,0.0,0.0
1,0.09,0.036,0.0,0.0,0.0
2,0.69,0.272,0.0,0.0,0.0
3,0.09,0.036,0.0,0.0,0.0
4,0.1,0.04,0.0,0.0,0.0
5,0.09,0.036,0.0,0.0,0.0
6,0.12,0.048,0.0,0.0,0.0
7,0.17,0.067,0.0,0.0,0.0
8,0.18,0.071,0.0,0.0,0.0
9,2.06,0.812,0.0,0.0,0.0
10,1.04,0.41,0.0,0.0,0.0
11,1.7,0.67,0.0,0.0,0.0
12,0.15,0.059,0.0,0.0,0.0
13,0.64,0.253,0.0,0.0,0.0
14,0.07,0.028,0.0,0.0,0.0
15,0.08,0.032,0.0,0.0,0.0
16,0.6,0.237,0.0,0.0,0.0
17,0.08,0.032,0.0,0.0,0.0
18,1.52,0.6,0.0,0.0,0.0
19,0.24,0.095,0.0,0.0,0.0
20,0.09,0.036,0.0,0.0,0.0
21,0.1,0.04,0.0,0.0,0.0
22,1.32,0.52,0.0,0.0,0.0
23,0.22,0.087,0.0,0.0,0.0
