hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.18,0.06,0.0,0.0,0.0
1,0.11,0.037,0.0,0.0,0.0
2,0.08,0.026,0.0,0.0,0.0
3,0.58,0.194,0.0,0.0,0.0
4,0.08,0.026,0.0,0.0,0.0
5,0.17,0.057,0.0,0.0,0.0
6,0.17,0.057,0.0,0.0,0.0
7,1.71,0.575,0.0,0.0,0.0
8,2.06,0.692,0.0,0.0,0.0
9,0.17,0.057,0.0,0.0,0.0
10,0.16,0.054,0.0,0.0,0.0
11,0.81,0.272,0.0,0.0,0.0
12,0.17,0.057,0.0,0.0,0.0
13,0.17,0.057,0.0,0.0,0.0
14,0.16,0.054,0.0,0.0,0.0
15,0.17,0.057,0.0,0.0,0.0
16,0.76,0.255,0.0,0.0,0.0
17,0.17,0.057,0.0,0.0,0.0
18,0.16,0.054,0.0,0.0,0.0
19,0.37,0.124,0.0,0.0,0.0
20,3.81,1.28,0.0,0.0,0.0
21,4.19,1.407,0.0,0.0,0.0
22,1.24,0.417,0.0,0.0,0.0
23,0.17,0.057,0.0,0.0,0.0
