hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.18,0.074,0.0,0.0,0.0
1,0.09,,0.0,0.0,
2,0.6,,0.0,0.0,
3,0.11,,0.0,0.0,
4,0.19,,0.0,0.0,
5,0.11,,0.0,0.0,
6,0.33,,0.0,0.0,
7,0.17,,0.0,0.0,
8,0.44,,0.0,0.0,
9,1.02,,0.0,0.0,
10,2.55,,0.0,0.0,
11,1.25,,0.0,0.0,
12,0.21,,0.0,0.0,
13,0.4,,0.0,0.0,
14,0.78,,0.0,0.0,
15,0.18,,0.0,0.0,
16,0.19,,0.0,0.0,
17,0.18,,0.0,0.0,
18,1.39,,0.0,0.0,
19,0.28,,0.0,0.0,
20,0.71,,0.0,0.0,
21,0.59,,0.0,0.0,
22,0.21,,0.0,0.0,
23,0.7,,0.0,0.0,
