hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.74,0.237,0.0,0.0,0.0
1,0.1,0.032,0.0,0.0,0.0
2,0.09,0.029,0.0,0.0,0.0
3,0.1,0.032,0.0,0.0,0.0
4,0.66,0.212,0.0,0.0,0.0
5,0.1,0.032,0.0,0.0,0.0
6,0.2,0.064,0.0,0.0,0.0
7,0.19,0.061,0.0,0.0,0.0
8,0.18,0.058,0.0,0.0,0.0
9,0.23,0.073,0.0,0.0,0.0
10,0.31,0.099,0.0,0.0,0.0
11,3.24,1.039,0.0,0.0,0.0
12,2.62,0.841,0.0,0.0,0.0
13,3.02,0.969,0.0,0.0,0.0
14,0.45,0.144,0.0,0.0,0.0
15,0.89,0.285,0.0,0.0,0.0
16,0.4,0.129,0.0,0.0,0.0
17,1.07,0.344,0.0,0.0,0.0
18,2.08,0.667,0.0,0.0,0.0
19,2.88,0.924,0.0,0.0,0.0
20,1.99,0.638,0.0,0.0,0.0
21,1.37,0.439,0.0,0.0,0.0
22,1.77,0.568,0.0,0.0,0.0
23,1.48,0.474,0.0,0.0,0.0
