hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.46,0.152,0.0,0.0,0.0
1,0.58,0.192,0.0,0.0,0.0
2,0.18,0.06,0.0,0.0,0.0
3,0.18,0.06,0.0,0.0,0.0
4,0.18,0.06,0.0,0.0,0.0
5,0.81,0.269,0.0,0.0,0.0
6,0.17,0.057,0.0,0.0,0.0
7,1.45,0.481,0.0,0.0,0.0
8,2.19,0.726,0.0,0.0,0.0
9,1.11,0.368,0.0,0.0,0.0
10,0.16,0.054,0.0,0.0,0.0
11,0.16,0.053,0.0,0.0,0.0
12,0.75,0.248,0.0,0.0,0.0
13,0.16,0.053,0.0,0.0,0.0
14,0.16,0.054,0.0,0.0,0.0
15,0.17,0.057,0.0,0.0,0.0
16,0.25,0.083,0.0,0.0,0.0
17,0.65,0.216,0.0,0.0,0.0
18,1.19,0.395,0.0,0.0,0.0
19,0.55,0.182,0.0,0.0,0.0
20,4.29,1.423,0.0,0.0,0.0
21,1.06,0.352,0.0,0.0,0.0
22,0.37,0.122,0.0,0.0,0.0
23,0.89,0.295,0.0,0.0,0.0
