hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.25,0.082,0.0,0.0,0.0
1,0.26,0.085,0.0,0.0,0.0
2,0.27,0.089,0.0,0.0,0.0
3,0.84,0.275,0.0,0.0,0.0
4,0.26,0.085,0.0,0.0,0.0
5,0.26,0.086,0.0,0.0,0.0
6,1.69,0.553,0.0,0.0,0.0
7,1.52,0.497,0.0,0.0,0.0
8,0.22,0.072,0.0,0.0,0.0
9,0.85,0.278,0.0,0.0,0.0
10,1.7,0.556,0.0,0.0,0.0
11,0.16,0.052,0.0,0.0,0.0
12,0.17,0.055,0.0,0.0,0.0
13,0.73,0.239,0.0,0.0,0.0
14,0.17,0.055,0.0,0.0,0.0
15,0.16,0.052,0.0,0.0,0.0
16,0.17,0.055,0.0,0.0,0.0
17,0.7,0.229,0.0,0.0,0.0
18,0.23,0.075,0.0,0.0,0.0
19,0.6,0.196,0.0,0.0,0.0
20,1.42,0.465,0.0,0.0,0.0
21,3.95,1.292,0.0,0.0,0.0
22,2.28,0.746,0.0,0.0,0.0
23,0.16,0.052,0.0,0.0,0.0
