hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.07,0.035,0.0,0.0,0.0
1,0.92,0.451,0.0,0.0,0.0
2,0.07,0.035,0.0,0.0,0.0
3,0.07,0.035,0.0,0.0,0.0
4,0.07,0.035,0.0,0.0,0.0
5,0.07,0.035,0.0,0.0,0.0
6,0.07,0.035,0.0,0.0,0.0
7,0.06,0.03,0.0,0.0,0.0
8,0.07,0.035,0.0,0.0,0.0
9,0.07,0.035,0.0,0.0,0.0
10,0.07,0.035,0.0,0.0,0.0
11,0.07,0.035,0.0,0.0,0.0
12,0.18,0.088,0.0,0.0,0.0
13,0.19,0.093,0.0,0.0,0.0
14,1.07,0.524,0.0,0.0,0.0
15,0.34,0.166,0.0,0.0,0.0
16,0.35,0.171,0.0,0.0,0.0
17,0.55,0.269,0.0,0.0,0.0
18,0.35,0.171,0.0,0.0,0.0
19,1.62,0.793,0.0,0.0,0.0
20,0.22,0.108,0.0,0.0,0.0
21,0.15,0.074,0.0,0.0,0.0
22,0.71,0.347,0.0,0.0,0.0
23,0.17,0.083,0.0,0.0,0.0
