hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.31,0.123,0.0,0.0,0.0
1,0.8,0.318,0.0,0.0,0.0
2,0.28,0.112,0.0,0.0,0.0
3,0.15,0.06,0.0,0.0,0.0
4,0.09,0.036,0.0,0.0,0.0
5,0.09,0.036,0.0,0.0,0.0
6,0.9,0.357,0.0,0.0,0.0
7,0.82,0.325,0.0,0.0,0.0
8,2.32,0.92,0.0,0.0,0.0
9,0.07,0.028,0.0,0.0,0.0
10,0.08,0.032,0.0,0.0,0.0
11,0.63,0.25,0.0,0.0,0.0
12,0.13,0.052,0.0,0.0,0.0
13,0.07,0.028,0.0,0.0,0.0
14,0.74,0.294,0.0,0.0,0.0
15,0.23,0.092,0.0,0.0,0.0
16,0.2,0.08,0.0,0.0,0.0
17,0.14,0.056,0.0,0.0,0.0
18,0.09,0.036,0.0,0.0,0.0
19,0.8,0.318,0.0,0.0,0.0
20,1.5,0.595,0.0,0.0,0.0
21,0.35,0.138,0.0,0.0,0.0
22,0.22,0.087,0.0,0.0,0.0
23,0.63,0.25,0.0,0.0,0.0
