hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.68,0.243,0.0,0.0,0.0
1,0.12,0.043,0.0,0.0,0.0
2,0.13,0.046,0.0,0.0,0.0
3,0.13,0.046,0.0,0.0,0.0
4,0.12,0.042,0.0,0.0,0.0
5,0.67,0.24,0.0,0.0,0.0
6,0.38,0.136,0.0,0.0,0.0
7,0.75,0.268,0.0,0.0,0.0
8,0.11,0.039,0.0,0.0,0.0
9,0.88,0.315,0.0,0.0,0.0
10,0.16,0.057,0.0,0.0,0.0
11,0.13,0.046,0.0,0.0,0.0
12,0.76,0.272,0.0,0.0,0.0
13,0.32,0.114,0.0,0.0,0.0
14,0.24,0.086,0.0,0.0,0.0
15,0.23,0.082,0.0,0.0,0.0
16,0.22,0.078,0.0,0.0,0.0
17,0.74,0.265,0.0,0.0,0.0
18,0.13,0.047,0.0,0.0,0.0
19,1.75,0.626,0.0,0.0,0.0
20,4.37,1.565,0.0,0.0,0.0
21,1.54,0.551,0.0,0.0,0.0
22,0.27,0.096,0.0,0.0,0.0
23,0.8,0.286,0.0,0.0,0.0
