hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.11,0.046,0.0,0.0,0.0
1,0.64,0.268,0.0,0.0,0.0
2,0.11,0.046,0.0,0.0,0.0
3,0.13,0.054,0.0,0.0,0.0
4,0.11,0.046,0.0,0.0,0.0
5,0.11,0.046,0.0,0.0,0.0
6,0.11,0.046,0.0,0.0,0.0
7,0.12,0.05,0.0,0.0,0.0
8,0.67,0.281,0.0,0.0,0.0
9,0.13,0.054,0.0,0.0,0.0
10,0.25,0.104,0.0,0.0,0.0
11,1.11,0.465,0.0,0.0,0.0
12,1.28,0.535,0.0,0.0,0.0
13,0.37,0.155,0.0,0.0,0.0
14,1.07,0.447,0.0,0.0,0.0
15,0.37,0.155,0.0,0.0,0.0
16,1.28,0.535,0.0,0.0,0.0
17,0.5,0.209,0.0,0.0,0.0
18,0.42,0.176,0.0,0.0,0.0
19,0.33,0.138,0.0,0.0,0.0
20,0.23,0.096,0.0,0.0,0.0
21,0.96,0.402,0.0,0.0,0.0
22,0.31,0.129,0.0,0.0,0.0
23,0.13,0.054,0.0,0.0,0.0
