hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.16,0.054,0.0,0.0,0.0
1,0.71,0.244,0.0,0.0,0.0
2,0.18,0.062,0.0,0.0,0.0
3,0.16,0.055,0.0,0.0,0.0
4,0.17,0.058,0.0,0.0,0.0
5,0.71,0.244,0.0,0.0,0.0
6,0.1,0.035,0.0,0.0,0.0
7,0.94,0.322,0.0,0.0,0.0
8,0.76,0.261,0.0,0.0,0.0
9,0.45,0.154,0.0,0.0,0.0
10,1.31,0.45,0.0,0.0,0.0
11,0.97,0.333,0.0,0.0,0.0
12,0.44,0.151,0.0,0.0,0.0
13,0.45,0.155,0.0,0.0,0.0
14,0.36,0.124,0.0,0.0,0.0
15,0.27,0.093,0.0,0.0,0.0
16,1.16,0.398,0.0,0.0,0.0
17,0.19,0.065,0.0,0.0,0.0
18,2.92,1.003,0.0,0.0,0.0
19,2.42,0.831,0.0,0.0,0.0
20,1.29,0.443,0.0,0.0,0.0
21,0.27,0.093,0.0,0.0,0.0
22,0.77,0.265,0.0,0.0,0.0
23,0.34,0.116,0.0,0.0,0.0
