hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.77,0.32,0.0,0.0,0.0
1,0.12,0.05,0.0,0.0,0.0
2,0.14,0.058,0.0,0.0,0.0
3,0.17,0.07,0.0,0.0,0.0
4,0.16,0.066,0.0,0.0,0.0
5,0.75,0.311,0.0,0.0,0.0
6,0.16,0.066,0.0,0.0,0.0
7,0.16,0.066,0.0,0.0,0.0
8,0.16,0.066,0.0,0.0,0.0
9,0.21,0.087,0.0,0.0,0.0
10,0.3,0.125,0.0,0.0,0.0
11,2.0,0.831,0.0,0.0,0.0
12,1.01,0.42,0.0,0.0,0.0
13,0.58,0.241,0.0,0.0,0.0
14,0.56,0.232,0.0,0.0,0.0
15,0.89,0.37,0.0,0.0,0.0
16,0.12,0.05,0.0,0.0,0.0
17,0.08,0.034,0.0,0.0,0.0
18,0.8,0.333,0.0,0.0,0.0
19,1.43,0.595,0.0,0.0,0.0
20,0.13,0.054,0.0,0.0,0.0
21,0.31,0.129,0.0,0.0,0.0
22,1.65,0.687,0.0,0.0,0.0
23,0.6,0.25,0.0,0.0,0.0
