hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.37,0.135,0.0,0.0,0.0
1,0.66,0.24,0.0,0.0,0.0
2,0.18,0.066,0.0,0.0,0.0
3,0.2,0.072,0.0,0.0,0.0
4,0.19,0.069,0.0,0.0,0.0
5,0.12,0.044,0.0,0.0,0.0
6,0.95,0.346,0.0,0.0,0.0
7,0.8,0.292,0.0,0.0,0.0
8,0.18,0.066,0.0,0.0,0.0
9,1.61,0.587,0.0,0.0,0.0
10,2.66,0.97,0.0,0.0,0.0
11,0.18,0.066,0.0,0.0,0.0
12,1.55,0.565,0.0,0.0,0.0
13,0.78,0.284,0.0,0.0,0.0
14,0.81,0.295,0.0,0.0,0.0
15,0.28,0.102,0.0,0.0,0.0
16,0.13,0.048,0.0,0.0,0.0
17,0.81,0.296,0.0,0.0,0.0
18,2.58,0.94,0.0,0.0,0.0
19,0.81,0.295,0.0,0.0,0.0
20,1.22,0.444,0.0,0.0,0.0
21,1.7,0.62,0.0,0.0,0.0
22,0.43,0.157,0.0,0.0,0.0
23,0.21,0.077,0.0,0.0,0.0
