hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.09,0.047,0.0,0.0,0.0
1,0.62,0.321,0.0,0.0,0.0
2,0.07,0.036,0.0,0.0,0.0
3,0.08,0.041,0.0,0.0,0.0
4,0.09,0.047,0.0,0.0,0.0
5,0.14,0.072,0.0,0.0,0.0
6,0.34,0.176,0.0,0.0,0.0
7,0.86,0.445,0.0,0.0,0.0
8,0.07,0.036,0.0,0.0,0.0
9,0.08,0.042,0.0,0.0,0.0
10,0.66,0.34,0.0,0.0,0.0
11,0.07,0.036,0.0,0.0,0.0
12,0.34,0.176,0.0,0.0,0.0
13,0.07,0.036,0.0,0.0,0.0
14,0.07,0.036,0.0,0.0,0.0
15,0.6,0.31,0.0,0.0,0.0
16,0.07,0.036,0.0,0.0,0.0
17,0.08,0.042,0.0,0.0,0.0
18,0.07,0.036,0.0,0.0,0.0
19,0.07,0.036,0.0,0.0,0.0
20,0.71,0.366,0.0,0.0,0.0
21,1.31,0.677,0.0,0.0,0.0
22,0.21,0.108,0.0,0.0,0.0
23,0.07,0.036,0.0,0.0,0.0
