hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.93,0.331,0.0,0.0,0.0
1,0.26,0.092,0.0,0.0,0.0
2,0.26,0.092,0.0,0.0,0.0
3,0.26,0.092,0.0,0.0,0.0
4,0.26,0.092,0.0,0.0,0.0
5,0.85,0.302,0.0,0.0,0.0
6,0.21,0.074,0.0,0.0,0.0
7,0.16,0.056,0.0,0.0,0.0
8,0.25,0.089,0.0,0.0,0.0
9,0.24,0.085,0.0,0.0,0.0
10,0.78,0.277,0.0,0.0,0.0
11,1.18,0.419,0.0,0.0,0.0
12,2.08,0.739,0.0,0.0,0.0
13,4.02,1.429,0.0,0.0,0.0
14,2.14,0.76,0.0,0.0,0.0
15,0.39,0.139,0.0,0.0,0.0
16,1.31,0.466,0.0,0.0,0.0
17,0.18,0.064,0.0,0.0,0.0
18,0.3,0.107,0.0,0.0,0.0
19,0.31,0.11,0.0,0.0,0.0
20,0.31,0.11,0.0,0.0,0.0
21,0.92,0.327,0.0,0.0,0.0
22,0.27,0.096,0.0,0.0,0.0
23,0.86,0.305,0.0,0.0,0.0
