hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.18,0.062,0.0,0.0,0.0
1,0.18,0.062,0.0,0.0,0.0
2,0.82,0.281,0.0,0.0,0.0
3,0.18,0.062,0.0,0.0,0.0
4,0.18,0.062,0.0,0.0,0.0
5,0.17,0.058,0.0,0.0,0.0
6,0.87,0.299,0.0,0.0,0.0
7,1.13,0.388,0.0,0.0,0.0
8,2.67,0.916,0.0,0.0,0.0
9,2.41,0.827,0.0,0.0,0.0
10,0.07,0.024,0.0,0.0,0.0
11,0.07,0.024,0.0,0.0,0.0
12,0.75,0.258,0.0,0.0,0.0
13,0.07,0.024,0.0,0.0,0.0
14,0.07,0.024,0.0,0.0,0.0
15,0.07,0.024,0.0,0.0,0.0
16,0.68,0.234,0.0,0.0,0.0
17,1.66,0.57,0.0,0.0,0.0
18,4.0,1.372,0.0,0.0,0.0
19,1.0,0.343,0.0,0.0,0.0
20,2.41,0.826,0.0,0.0,0.0
21,0.93,0.319,0.0,0.0,0.0
22,0.32,0.11,0.0,0.0,0.0
23,0.79,0.271,0.0,0.0,0.0
