hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.23,0.078,0.0,0.0,0.0
1,0.85,0.287,0.0,0.0,0.0
2,0.23,0.078,0.0,0.0,0.0
3,0.24,0.081,0.0,0.0,0.0
4,0.24,0.082,0.0,0.0,0.0
5,0.24,0.082,0.0,0.0,0.0
6,1.1,0.372,0.0,0.0,0.0
7,2.29,0.773,0.0,0.0,0.0
8,1.31,0.443,0.0,0.0,0.0
9,0.23,0.078,0.0,0.0,0.0
10,0.24,0.082,0.0,0.0,0.0
11,0.81,0.274,0.0,0.0,0.0
12,0.23,0.078,0.0,0.0,0.0
13,0.24,0.082,0.0,0.0,0.0
14,0.24,0.082,0.0,0.0,0.0
15,0.24,0.081,0.0,0.0,0.0
16,0.81,0.274,0.0,0.0,0.0
17,0.24,0.082,0.0,0.0,0.0
18,0.23,0.078,0.0,0.0,0.0
19,3.5,1.182,0.0,0.0,0.0
20,3.37,1.138,0.0,0.0,0.0
21,0.43,0.145,0.0,0.0,0.0
22,0.83,0.28,0.0,0.0,0.0
23,0.16,0.054,0.0,0.0,0.0
