hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.23,0.091,0.0,0.0,0.0
1,0.66,0.26,0.0,0.0,0.0
2,0.11,0.044,0.0,0.0,0.0
3,0.11,0.044,0.0,0.0,0.0
4,0.11,0.044,0.0,0.0,0.0
5,0.14,0.056,0.0,0.0,0.0
6,0.21,0.082,0.0,0.0,0.0
7,0.76,0.299,0.0,0.0,0.0
8,0.28,0.11,0.0,0.0,0.0
9,0.35,0.138,0.0,0.0,0.0
10,0.73,0.289,0.0,0.0,0.0
11,0.33,0.13,0.0,0.0,0.0
12,0.35,0.138,0.0,0.0,0.0
13,0.87,0.344,0.0,0.0,0.0
14,0.41,0.162,0.0,0.0,0.0
15,0.38,0.15,0.0,0.0,0.0
16,0.71,0.28,0.0,0.0,0.0
17,0.65,0.257,0.0,0.0,0.0
18,0.51,0.202,0.0,0.0,0.0
19,1.37,0.541,0.0,0.0,0.0
20,1.68,0.663,0.0,0.0,0.0
21,2.93,1.156,0.0,0.0,0.0
22,0.57,0.224,0.0,0.0,0.0
23,0.56,0.221,0.0,0.0,0.0
