hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.86,0.318,0.0,0.0,0.0
1,0.21,0.078,0.0,0.0,0.0
2,0.2,0.074,0.0,0.0,0.0
3,0.2,0.074,0.0,0.0,0.0
4,0.8,0.295,0.0,0.0,0.0
5,0.2,0.074,0.0,0.0,0.0
6,0.2,0.074,0.0,0.0,0.0
7,2.36,0.872,0.0,0.0,0.0
8,2.49,0.92,0.0,0.0,0.0
9,0.23,0.085,0.0,0.0,0.0
10,0.23,0.085,0.0,0.0,0.0
11,0.87,0.322,0.0,0.0,0.0
12,0.23,0.085,0.0,0.0,0.0
13,0.24,0.088,0.0,0.0,0.0
14,0.23,0.085,0.0,0.0,0.0
15,0.24,0.089,0.0,0.0,0.0
16,0.83,0.306,0.0,0.0,0.0
17,0.23,0.085,0.0,0.0,0.0
18,0.42,0.155,0.0,0.0,0.0
19,0.87,0.322,0.0,0.0,0.0
20,0.29,0.107,0.0,0.0,0.0
21,1.57,0.58,0.0,0.0,0.0
22,0.38,0.14,0.0,0.0,0.0
23,0.78,0.288,0.0,0.0,0.0
