hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.6,0.184,0.0,0.0,0.0
1,0.1,0.03,0.0,0.0,0.0
2,0.17,0.053,0.0,0.0,0.0
3,0.16,0.05,0.0,0.0,0.0
4,0.33,0.102,0.0,0.0,0.0
5,0.56,0.173,0.0,0.0,0.0
6,0.49,0.151,0.0,0.0,0.0
7,2.09,0.644,0.0,0.0,0.0
8,3.4,1.047,0.0,0.0,0.0
9,0.15,0.047,0.0,0.0,0.0
10,0.8,0.247,0.0,0.0,0.0
11,0.15,0.047,0.0,0.0,0.0
12,0.16,0.05,0.0,0.0,0.0
13,0.69,0.213,0.0,0.0,0.0
14,0.15,0.047,0.0,0.0,0.0
15,0.15,0.047,0.0,0.0,0.0
16,0.7,0.216,0.0,0.0,0.0
17,0.15,0.047,0.0,0.0,0.0
18,0.6,0.185,0.0,0.0,0.0
19,0.8,0.246,0.0,0.0,0.0
20,0.92,0.283,0.0,0.0,0.0
21,5.68,1.748,0.0,0.0,0.0
22,3.97,1.222,0.0,0.0,0.0
23,0.6,0.185,0.0,0.0,0.0
