hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.08,0.035,0.0,0.0,0.0
1,0.08,0.034,0.0,0.0,0.0
2,0.64,0.277,0.0,0.0,0.0
3,0.08,0.035,0.0,0.0,0.0
4,0.07,0.03,0.0,0.0,0.0
5,0.07,0.03,0.0,0.0,0.0
6,0.08,0.034,0.0,0.0,0.0
7,0.08,0.034,0.0,0.0,0.0
8,0.11,0.047,0.0,0.0,0.0
9,1.26,0.545,0.0,0.0,0.0
10,0.82,0.355,0.0,0.0,0.0
11,0.29,0.126,0.0,0.0,0.0
12,0.87,0.376,0.0,0.0,0.0
13,0.37,0.16,0.0,0.0,0.0
14,0.25,0.109,0.0,0.0,0.0
15,0.18,0.078,0.0,0.0,0.0
16,0.26,0.113,0.0,0.0,0.0
17,0.87,0.377,0.0,0.0,0.0
18,0.6,0.259,0.0,0.0,0.0
19,0.98,0.424,0.0,0.0,0.0
20,0.18,0.078,0.0,0.0,0.0
21,1.09,0.472,0.0,0.0,0.0
22,0.16,0.069,0.0,0.0,0.0
23,0.09,0.039,0.0,0.0,0.0
