hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.13,0.049,0.0,0.0,0.0
1,0.73,0.274,0.0,0.0,0.0
2,0.14,0.052,0.0,0.0,0.0
3,0.12,0.046,0.0,0.0,0.0
4,0.12,0.045,0.0,0.0,0.0
5,0.12,0.046,0.0,0.0,0.0
6,0.34,0.128,0.0,0.0,0.0
7,1.68,0.632,0.0,0.0,0.0
8,1.14,0.429,0.0,0.0,0.0
9,0.07,0.026,0.0,0.0,0.0
10,0.07,0.026,0.0,0.0,0.0
11,0.65,0.245,0.0,0.0,0.0
12,0.07,0.026,0.0,0.0,0.0
13,0.08,0.03,0.0,0.0,0.0
14,0.07,0.026,0.0,0.0,0.0
15,0.07,0.026,0.0,0.0,0.0
16,0.08,0.03,0.0,0.0,0.0
17,0.07,0.026,0.0,0.0,0.0
18,3.05,1.148,0.0,0.0,0.0
19,2.45,0.922,0.0,0.0,0.0
20,0.66,0.248,0.0,0.0,0.0
21,1.1,0.414,0.0,0.0,0.0
22,1.12,0.422,0.0,0.0,0.0
23,0.28,0.105,0.0,0.0,0.0
