hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.52,0.174,0.0,0.0,0.0
1,1.01,0.338,0.0,0.0,0.0
2,0.7,0.234,0.0,0.0,0.0
3,0.52,0.174,0.0,0.0,0.0
4,0.52,0.174,0.0,0.0,0.0
5,0.52,0.174,0.0,0.0,0.0
6,0.51,0.171,0.0,0.0,0.0
7,1.14,0.381,0.0,0.0,0.0
8,0.51,0.171,0.0,0.0,0.0
9,0.46,0.154,0.0,0.0,0.0
10,0.48,0.161,0.0,0.0,0.0
11,0.51,0.171,0.0,0.0,0.0
12,0.51,0.171,0.0,0.0,0.0
13,1.4,0.468,0.0,0.0,0.0
14,0.6,0.201,0.0,0.0,0.0
15,0.47,0.157,0.0,0.0,0.0
16,1.04,0.347,0.0,0.0,0.0
17,0.41,0.137,0.0,0.0,0.0
18,1.61,0.539,0.0,0.0,0.0
19,0.61,0.204,0.0,0.0,0.0
20,0.57,0.191,0.0,0.0,0.0
21,0.57,0.191,0.0,0.0,0.0
22,1.03,0.344,0.0,0.0,0.0
23,1.76,0.588,0.0,0.0,0.0
