hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.09,0.032,0.0,0.0,0.0
1,0.63,0.221,0.0,0.0,0.0
2,0.07,0.025,0.0,0.0,0.0
3,0.09,0.032,0.0,0.0,0.0
4,0.09,0.032,0.0,0.0,0.0
5,0.08,0.029,0.0,0.0,0.0
6,0.88,0.308,0.0,0.0,0.0
7,1.69,0.592,0.0,0.0,0.0
8,3.32,1.163,0.0,0.0,0.0
9,0.32,0.113,0.0,0.0,0.0
10,0.08,0.028,0.0,0.0,0.0
11,0.73,0.256,0.0,0.0,0.0
12,0.07,0.025,0.0,0.0,0.0
13,0.07,0.025,0.0,0.0,0.0
14,0.08,0.029,0.0,0.0,0.0
15,0.07,0.025,0.0,0.0,0.0
16,0.68,0.238,0.0,0.0,0.0
17,0.07,0.025,0.0,0.0,0.0
18,1.52,0.532,0.0,0.0,0.0
19,3.77,1.32,0.0,0.0,0.0
20,3.15,1.103,0.0,0.0,0.0
21,1.9,0.666,0.0,0.0,0.0
22,0.92,0.323,0.0,0.0,0.0
23,0.12,0.043,0.0,0.0,0.0
