hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.83,0.309,0.0,0.0,0.0
1,0.27,0.1,0.0,0.0,0.0
2,0.27,0.1,0.0,0.0,0.0
3,0.28,0.104,0.0,0.0,0.0
4,0.27,0.1,0.0,0.0,0.0
5,0.69,0.257,0.0,0.0,0.0
6,0.65,0.242,0.0,0.0,0.0
7,1.67,0.622,0.0,0.0,0.0
8,2.15,0.802,0.0,0.0,0.0
9,0.18,0.067,0.0,0.0,0.0
10,0.18,0.068,0.0,0.0,0.0
11,0.74,0.276,0.0,0.0,0.0
12,0.18,0.068,0.0,0.0,0.0
13,0.18,0.067,0.0,0.0,0.0
14,0.18,0.067,0.0,0.0,0.0
15,0.18,0.068,0.0,0.0,0.0
16,0.77,0.287,0.0,0.0,0.0
17,0.17,0.064,0.0,0.0,0.0
18,0.26,0.097,0.0,0.0,0.0
19,0.61,0.228,0.0,0.0,0.0
20,2.88,1.074,0.0,0.0,0.0
21,2.81,1.048,0.0,0.0,0.0
22,0.35,0.13,0.0,0.0,0.0
23,0.19,0.071,0.0,0.0,0.0
