hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.69,0.243,0.0,0.0,0.0
1,0.18,0.064,0.0,0.0,0.0
2,0.18,0.063,0.0,0.0,0.0
3,0.18,0.063,0.0,0.0,0.0
4,0.72,0.254,0.0,0.0,0.0
5,0.17,0.06,0.0,0.0,0.0
6,0.19,0.067,0.0,0.0,0.0
7,0.26,0.092,0.0,0.0,0.0
8,0.7,0.247,0.0,0.0,0.0
9,1.05,0.37,0.0,0.0,0.0
10,0.14,0.05,0.0,0.0,0.0
11,0.82,0.289,0.0,0.0,0.0
12,0.29,0.102,0.0,0.0,0.0
13,2.48,0.874,0.0,0.0,0.0
14,0.61,0.215,0.0,0.0,0.0
15,0.87,0.306,0.0,0.0,0.0
16,2.39,0.842,0.0,0.0,0.0
17,1.86,0.655,0.0,0.0,0.0
18,0.58,0.204,0.0,0.0,0.0
19,1.37,0.483,0.0,0.0,0.0
20,0.89,0.314,0.0,0.0,0.0
21,1.52,0.536,0.0,0.0,0.0
22,2.99,1.054,0.0,0.0,0.0
23,0.18,0.063,0.0,0.0,0.0
