hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.69,0.282,0.0,0.0,0.0
1,0.08,0.032,0.0,0.0,0.0
2,0.08,0.032,0.0,0.0,0.0
3,0.08,0.032,0.0,0.0,0.0
4,0.08,0.032,0.0,0.0,0.0
5,0.08,0.032,0.0,0.0,0.0
6,0.88,0.361,0.0,0.0,0.0
7,2.6,1.066,0.0,0.0,0.0
8,0.07,0.028,0.0,0.0,0.0
9,0.07,0.028,0.0,0.0,0.0
10,0.66,0.27,0.0,0.0,0.0
11,0.08,0.032,0.0,0.0,0.0
12,0.07,0.028,0.0,0.0,0.0
13,0.08,0.032,0.0,0.0,0.0
14,0.06,0.024,0.0,0.0,0.0
15,0.07,0.028,0.0,0.0,0.0
16,0.67,0.274,0.0,0.0,0.0
17,0.07,0.028,0.0,0.0,0.0
18,0.07,0.028,0.0,0.0,0.0
19,0.28,0.115,0.0,0.0,0.0
20,0.38,0.155,0.0,0.0,0.0
21,1.12,0.459,0.0,0.0,0.0
22,1.33,0.545,0.0,0.0,0.0
23,1.63,0.669,0.0,0.0,0.0
