hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.28,0.127,0.0,0.0,0.0
1,0.73,0.331,0.0,0.0,0.0
2,0.13,0.059,0.0,0.0,0.0
3,0.13,0.059,0.0,0.0,0.0
4,0.13,0.059,0.0,0.0,0.0
5,0.5,0.227,0.0,0.0,0.0
6,0.31,0.14,0.0,0.0,0.0
7,0.13,0.059,0.0,0.0,0.0
8,0.13,0.059,0.0,0.0,0.0
9,0.13,0.059,0.0,0.0,0.0
10,0.13,0.059,0.0,0.0,0.0
11,1.3,0.589,0.0,0.0,0.0
12,0.18,0.081,0.0,0.0,0.0
13,0.87,0.394,0.0,0.0,0.0
14,0.31,0.141,0.0,0.0,0.0
15,0.25,0.114,0.0,0.0,0.0
16,0.23,0.104,0.0,0.0,0.0
17,0.61,0.277,0.0,0.0,0.0
18,0.22,0.1,0.0,0.0,0.0
19,0.09,0.041,0.0,0.0,0.0
20,1.27,0.576,0.0,0.0,0.0
21,1.63,0.739,0.0,0.0,0.0
22,1.64,0.743,0.0,0.0,0.0
23,0.5,0.227,0.0,0.0,0.0
