hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.61,0.252,0.0,0.0,0.0
1,0.13,0.054,0.0,0.0,0.0
2,0.13,0.054,0.0,0.0,0.0
3,0.13,0.054,0.0,0.0,0.0
4,0.14,0.058,0.0,0.0,0.0
5,0.68,0.281,0.0,0.0,0.0
6,0.42,0.174,0.0,0.0,0.0
7,2.7,1.116,0.0,0.0,0.0
8,0.65,0.269,0.0,0.0,0.0
9,0.09,0.038,0.0,0.0,0.0
10,0.7,0.29,0.0,0.0,0.0
11,0.09,0.038,0.0,0.0,0.0
12,0.09,0.038,0.0,0.0,0.0
13,0.09,0.038,0.0,0.0,0.0
14,0.09,0.038,0.0,0.0,0.0
15,0.43,0.178,0.0,0.0,0.0
16,0.33,0.137,0.0,0.0,0.0
17,0.11,0.046,0.0,0.0,0.0
18,0.28,0.116,0.0,0.0,0.0
19,0.46,0.19,0.0,0.0,0.0
20,2.78,1.149,0.0,0.0,0.0
21,1.32,0.545,0.0,0.0,0.0
22,1.63,0.674,0.0,0.0,0.0
23,0.21,0.087,0.0,0.0,0.0
