hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.43,0.163,0.0,0.0,0.0
1,0.29,0.11,0.0,0.0,0.0
2,0.1,0.038,0.0,0.0,0.0
3,0.67,0.253,0.0,0.0,0.0
4,0.08,0.03,0.0,0.0,0.0
5,0.09,0.034,0.0,0.0,0.0
6,0.08,0.03,0.0,0.0,0.0
7,0.07,0.026,0.0,0.0,0.0
8,0.14,0.053,0.0,0.0,0.0
9,0.2,0.076,0.0,0.0,0.0
10,0.21,0.08,0.0,0.0,0.0
11,0.21,0.08,0.0,0.0,0.0
12,0.2,0.076,0.0,0.0,0.0
13,1.53,0.578,0.0,0.0,0.0
14,0.23,0.087,0.0,0.0,0.0
15,0.72,0.272,0.0,0.0,0.0
16,0.16,0.06,0.0,0.0,0.0
17,0.5,0.189,0.0,0.0,0.0
18,2.37,0.895,0.0,0.0,0.0
19,1.09,0.412,0.0,0.0,0.0
20,0.96,0.363,0.0,0.0,0.0
21,1.33,0.502,0.0,0.0,0.0
22,1.48,0.558,0.0,0.0,0.0
23,0.8,0.302,0.0,0.0,0.0
