hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.14,0.052,0.0,0.0,0.0
1,0.15,0.056,0.0,0.0,0.0
2,0.75,0.28,0.0,0.0,0.0
3,0.15,0.056,0.0,0.0,0.0
4,0.14,0.052,0.0,0.0,0.0
5,0.15,0.056,0.0,0.0,0.0
6,0.17,0.063,0.0,0.0,0.0
7,0.7,0.261,0.0,0.0,0.0
8,2.46,0.919,0.0,0.0,0.0
9,0.19,0.071,0.0,0.0,0.0
10,0.23,0.086,0.0,0.0,0.0
11,0.79,0.295,0.0,0.0,0.0
12,0.19,0.071,0.0,0.0,0.0
13,0.19,0.071,0.0,0.0,0.0
14,0.19,0.071,0.0,0.0,0.0
15,0.76,0.284,0.0,0.0,0.0
16,0.17,0.064,0.0,0.0,0.0
17,0.21,0.079,0.0,0.0,0.0
18,0.88,0.329,0.0,0.0,0.0
19,1.43,0.534,0.0,0.0,0.0
20,1.93,0.721,0.0,0.0,0.0
21,0.41,0.153,0.0,0.0,0.0
22,0.61,0.228,0.0,0.0,0.0
23,3.27,1.222,0.0,0.0,0.0
