hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.68,0.25,0.0,0.0,0.0
1,0.14,0.052,0.0,0.0,0.0
2,0.13,0.048,0.0,0.0,0.0
3,0.14,0.051,0.0,0.0,0.0
4,0.66,0.243,0.0,0.0,0.0
5,0.15,0.055,0.0,0.0,0.0
6,0.39,0.144,0.0,0.0,0.0
7,1.13,0.416,0.0,0.0,0.0
8,0.12,0.044,0.0,0.0,0.0
9,0.97,0.357,0.0,0.0,0.0
10,3.37,1.242,0.0,0.0,0.0
11,2.64,0.973,0.0,0.0,0.0
12,0.97,0.358,0.0,0.0,0.0
13,0.2,0.074,0.0,0.0,0.0
14,0.89,0.328,0.0,0.0,0.0
15,0.19,0.07,0.0,0.0,0.0
16,0.87,0.32,0.0,0.0,0.0
17,1.03,0.38,0.0,0.0,0.0
18,0.87,0.32,0.0,0.0,0.0
19,0.26,0.096,0.0,0.0,0.0
20,0.39,0.144,0.0,0.0,0.0
21,1.82,0.671,0.0,0.0,0.0
22,0.12,0.044,0.0,0.0,0.0
23,0.11,0.041,0.0,0.0,0.0
