hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.22,0.08,0.0,0.0,0.0
1,0.52,0.192,0.0,0.0,0.0
2,0.38,0.14,0.0,0.0,0.0
3,0.1,0.037,0.0,0.0,0.0
4,0.08,0.029,0.0,0.0,0.0
5,0.61,0.224,0.0,0.0,0.0
6,0.11,0.041,0.0,0.0,0.0
7,0.07,0.026,0.0,0.0,0.0
8,0.08,0.03,0.0,0.0,0.0
9,0.1,0.037,0.0,0.0,0.0
10,0.18,0.066,0.0,0.0,0.0
11,1.07,0.393,0.0,0.0,0.0
12,3.52,1.295,0.0,0.0,0.0
13,3.51,1.291,0.0,0.0,0.0
14,0.33,0.121,0.0,0.0,0.0
15,0.21,0.077,0.0,0.0,0.0
16,1.05,0.386,0.0,0.0,0.0
17,0.5,0.184,0.0,0.0,0.0
18,2.01,0.739,0.0,0.0,0.0
19,0.64,0.235,0.0,0.0,0.0
20,1.18,0.434,0.0,0.0,0.0
21,0.44,0.162,0.0,0.0,0.0
22,1.89,0.695,0.0,0.0,0.0
23,0.24,0.088,0.0,0.0,0.0
