hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,2.35,0.763,0.0,0.0,0.0
1,0.51,0.165,0.0,0.0,0.0
2,0.51,0.165,0.0,0.0,0.0
3,1.17,0.38,0.0,0.0,0.0
4,0.46,0.15,0.0,0.0,0.0
5,0.46,0.15,0.0,0.0,0.0
6,0.46,0.15,0.0,0.0,0.0
7,1.83,0.594,0.0,0.0,0.0
8,0.8,0.26,0.0,0.0,0.0
9,0.45,0.146,0.0,0.0,0.0
10,1.08,0.35,0.0,0.0,0.0
11,0.46,0.15,0.0,0.0,0.0
12,0.45,0.146,0.0,0.0,0.0
13,0.46,0.15,0.0,0.0,0.0
14,0.98,0.318,0.0,0.0,0.0
15,0.51,0.166,0.0,0.0,0.0
16,0.45,0.146,0.0,0.0,0.0
17,0.45,0.146,0.0,0.0,0.0
18,0.81,0.263,0.0,0.0,0.0
19,1.28,0.416,0.0,0.0,0.0
20,0.72,0.234,0.0,0.0,0.0
21,0.62,0.202,0.0,0.0,0.0
22,0.62,0.202,0.0,0.0,0.0
23,0.62,0.202,0.0,0.0,0.0
