hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.77,0.285,0.0,0.0,0.0
1,0.13,0.048,0.0,0.0,0.0
2,0.62,0.229,0.0,0.0,0.0
3,0.11,0.04,0.0,0.0,0.0
4,0.55,0.203,0.0,0.0,0.0
5,0.16,0.059,0.0,0.0,0.0
6,0.11,0.04,0.0,0.0,0.0
7,0.6,0.221,0.0,0.0,0.0
8,0.1,0.037,0.0,0.0,0.0
9,0.64,0.236,0.0,0.0,0.0
10,0.19,0.07,0.0,0.0,0.0
11,1.1,0.406,0.0,0.0,0.0
12,1.59,0.587,0.0,0.0,0.0
13,0.44,0.163,0.0,0.0,0.0
14,0.88,0.325,0.0,0.0,0.0
15,1.66,0.613,0.0,0.0,0.0
16,1.78,0.657,0.0,0.0,0.0
17,0.44,0.162,0.0,0.0,0.0
18,1.32,0.488,0.0,0.0,0.0
19,1.47,0.543,0.0,0.0,0.0
20,0.54,0.199,0.0,0.0,0.0
21,1.16,0.428,0.0,0.0,0.0
22,0.4,0.147,0.0,0.0,0.0
23,0.88,0.325,0.0,0.0,0.0
