hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.7,0.255,0.0,0.0,0.0
1,0.3,0.109,0.0,0.0,0.0
2,0.23,0.084,0.0,0.0,0.0
3,0.24,0.087,0.0,0.0,0.0
4,0.15,0.055,0.0,0.0,0.0
5,0.7,0.255,0.0,0.0,0.0
6,0.47,0.171,0.0,0.0,0.0
7,1.85,0.673,0.0,0.0,0.0
8,2.55,0.928,0.0,0.0,0.0
9,0.08,0.03,0.0,0.0,0.0
10,0.09,0.033,0.0,0.0,0.0
11,0.72,0.262,0.0,0.0,0.0
12,0.09,0.033,0.0,0.0,0.0
13,0.1,0.036,0.0,0.0,0.0
14,0.09,0.033,0.0,0.0,0.0
15,0.09,0.033,0.0,0.0,0.0
16,0.68,0.248,0.0,0.0,0.0
17,0.19,0.069,0.0,0.0,0.0
18,2.45,0.892,0.0,0.0,0.0
19,3.8,1.382,0.0,0.0,0.0
20,0.89,0.324,0.0,0.0,0.0
21,1.92,0.699,0.0,0.0,0.0
22,0.23,0.084,0.0,0.0,0.0
23,0.27,0.099,0.0,0.0,0.0
