hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.43,0.129,0.0,0.0,0.0
1,1.05,0.313,0.0,0.0,0.0
2,0.45,0.134,0.0,0.0,0.0
3,0.52,0.154,0.0,0.0,0.0
4,0.52,0.154,0.0,0.0,0.0
5,0.52,0.154,0.0,0.0,0.0
6,2.97,0.885,0.0,0.0,0.0
7,3.79,1.129,0.0,0.0,0.0
8,0.5,0.148,0.0,0.0,0.0
9,0.49,0.145,0.0,0.0,0.0
10,1.19,0.354,0.0,0.0,0.0
11,0.5,0.148,0.0,0.0,0.0
12,0.49,0.145,0.0,0.0,0.0
13,0.51,0.151,0.0,0.0,0.0
14,0.5,0.148,0.0,0.0,0.0
15,0.54,0.16,0.0,0.0,0.0
16,2.96,0.882,0.0,0.0,0.0
17,1.35,0.402,0.0,0.0,0.0
18,0.51,0.151,0.0,0.0,0.0
19,1.1,0.327,0.0,0.0,0.0
20,0.52,0.154,0.0,0.0,0.0
21,0.52,0.154,0.0,0.0,0.0
22,0.52,0.154,0.0,0.0,0.0
23,1.21,0.36,0.0,0.0,0.0
