hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.1,0.03,0.0,0.0,0.0
1,0.66,0.196,0.0,0.0,0.0
2,0.13,0.039,0.0,0.0,0.0
3,0.13,0.039,0.0,0.0,0.0
4,0.17,0.051,0.0,0.0,0.0
5,0.22,0.066,0.0,0.0,0.0
6,0.77,0.229,0.0,0.0,0.0
7,0.32,0.094,0.0,0.0,0.0
8,0.36,0.106,0.0,0.0,0.0
9,0.33,0.097,0.0,0.0,0.0
10,3.45,1.022,0.0,0.0,0.0
11,3.26,0.966,0.0,0.0,0.0
12,0.32,0.095,0.0,0.0,0.0
13,0.96,0.284,0.0,0.0,0.0
14,2.88,0.854,0.0,0.0,0.0
15,2.01,0.595,0.0,0.0,0.0
16,0.36,0.106,0.0,0.0,0.0
17,0.29,0.086,0.0,0.0,0.0
18,0.74,0.22,0.0,0.0,0.0
19,0.61,0.18,0.0,0.0,0.0
20,2.71,0.803,0.0,0.0,0.0
21,2.82,0.835,0.0,0.0,0.0
22,2.15,0.637,0.0,0.0,0.0
23,0.14,0.042,0.0,0.0,0.0
