hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.59,0.222,0.0,0.0,0.0
1,0.12,0.045,0.0,0.0,0.0
2,0.07,0.026,0.0,0.0,0.0
3,0.07,0.026,0.0,0.0,0.0
4,0.72,0.272,0.0,0.0,0.0
5,0.16,0.06,0.0,0.0,0.0
6,0.3,0.114,0.0,0.0,0.0
7,3.08,1.162,0.0,0.0,0.0
8,2.78,1.049,0.0,0.0,0.0
9,0.05,0.019,0.0,0.0,0.0
10,0.07,0.026,0.0,0.0,0.0
11,0.72,0.272,0.0,0.0,0.0
12,0.07,0.026,0.0,0.0,0.0
13,0.06,0.022,0.0,0.0,0.0
14,0.06,0.022,0.0,0.0,0.0
15,0.07,0.026,0.0,0.0,0.0
16,0.67,0.253,0.0,0.0,0.0
17,0.06,0.022,0.0,0.0,0.0
18,0.13,0.049,0.0,0.0,0.0
19,0.7,0.264,0.0,0.0,0.0
20,0.57,0.215,0.0,0.0,0.0
21,1.94,0.732,0.0,0.0,0.0
22,0.42,0.158,0.0,0.0,0.0
23,0.8,0.302,0.0,0.0,0.0
