hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.13,0.041,0.0,0.0,0.0
1,0.13,0.041,0.0,0.0,0.0
2,0.14,0.044,0.0,0.0,0.0
3,0.13,0.041,0.0,0.0,0.0
4,0.67,0.215,0.0,0.0,0.0
5,0.13,0.041,0.0,0.0,0.0
6,0.47,0.151,0.0,0.0,0.0
7,1.82,0.584,0.0,0.0,0.0
8,0.12,0.038,0.0,0.0,0.0
9,0.71,0.228,0.0,0.0,0.0
10,0.24,0.077,0.0,0.0,0.0
11,1.07,0.344,0.0,0.0,0.0
12,2.6,0.835,0.0,0.0,0.0
13,2.81,0.902,0.0,0.0,0.0
14,2.19,0.703,0.0,0.0,0.0
15,0.99,0.318,0.0,0.0,0.0
16,0.14,0.045,0.0,0.0,0.0
17,1.49,0.478,0.0,0.0,0.0
18,4.11,1.319,0.0,0.0,0.0
19,3.86,1.24,0.0,0.0,0.0
20,1.37,0.44,0.0,0.0,0.0
21,0.42,0.135,0.0,0.0,0.0
22,1.03,0.33,0.0,0.0,0.0
23,0.23,0.074,0.0,0.0,0.0
