hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.37,0.139,0.0,0.0,0.0
1,0.07,0.026,0.0,0.0,0.0
2,0.08,0.03,0.0,0.0,0.0
3,0.09,0.034,0.0,0.0,0.0
4,0.08,0.03,0.0,0.0,0.0
5,0.64,0.241,0.0,0.0,0.0
6,0.5,0.188,0.0,0.0,0.0
7,3.19,1.196,0.0,0.0,0.0
8,0.33,0.124,0.0,0.0,0.0
9,0.16,0.06,0.0,0.0,0.0
10,0.83,0.312,0.0,0.0,0.0
11,0.17,0.064,0.0,0.0,0.0
12,0.17,0.064,0.0,0.0,0.0
13,0.16,0.06,0.0,0.0,0.0
14,0.16,0.06,0.0,0.0,0.0
15,0.17,0.064,0.0,0.0,0.0
16,0.74,0.277,0.0,0.0,0.0
17,0.17,0.064,0.0,0.0,0.0
18,0.4,0.15,0.0,0.0,0.0
19,1.29,0.484,0.0,0.0,0.0
20,0.3,0.113,0.0,0.0,0.0
21,1.41,0.529,0.0,0.0,0.0
22,2.6,0.975,0.0,0.0,0.0
23,0.08,0.03,0.0,0.0,0.0
