hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.09,0.036,0.0,0.0,0.0
1,0.09,0.036,0.0,0.0,0.0
2,0.61,0.241,0.0,0.0,0.0
3,0.1,0.04,0.0,0.0,0.0
4,0.08,0.032,0.0,0.0,0.0
5,0.09,0.036,0.0,0.0,0.0
6,0.31,0.123,0.0,0.0,0.0
7,2.17,0.858,0.0,0.0,0.0
8,1.03,0.407,0.0,0.0,0.0
9,0.07,0.028,0.0,0.0,0.0
10,0.07,0.028,0.0,0.0,0.0
11,0.63,0.249,0.0,0.0,0.0
12,0.07,0.028,0.0,0.0,0.0
13,0.16,0.063,0.0,0.0,0.0
14,0.08,0.032,0.0,0.0,0.0
15,0.07,0.028,0.0,0.0,0.0
16,0.66,0.261,0.0,0.0,0.0
17,0.9,0.356,0.0,0.0,0.0
18,0.51,0.202,0.0,0.0,0.0
19,0.64,0.253,0.0,0.0,0.0
20,0.54,0.214,0.0,0.0,0.0
21,3.38,1.336,0.0,0.0,0.0
22,1.99,0.786,0.0,0.0,0.0
23,0.22,0.087,0.0,0.0,0.0
