hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.64,0.238,0.0,0.0,0.0
1,0.12,0.045,0.0,0.0,0.0
2,0.18,0.068,0.0,0.0,0.0
3,0.2,0.074,0.0,0.0,0.0
4,0.19,0.071,0.0,0.0,0.0
5,0.76,0.284,0.0,0.0,0.0
6,0.33,0.123,0.0,0.0,0.0
7,2.32,0.865,0.0,0.0,0.0
8,1.83,0.682,0.0,0.0,0.0
9,0.18,0.068,0.0,0.0,0.0
10,0.47,0.176,0.0,0.0,0.0
11,0.47,0.176,0.0,0.0,0.0
12,0.18,0.068,0.0,0.0,0.0
13,0.19,0.071,0.0,0.0,0.0
14,0.27,0.101,0.0,0.0,0.0
15,0.77,0.287,0.0,0.0,0.0
16,0.18,0.068,0.0,0.0,0.0
17,0.2,0.075,0.0,0.0,0.0
18,0.17,0.064,0.0,0.0,0.0
19,4.46,1.663,0.0,0.0,0.0
20,0.89,0.331,0.0,0.0,0.0
21,1.68,0.626,0.0,0.0,0.0
22,0.48,0.178,0.0,0.0,0.0
23,0.37,0.137,0.0,0.0,0.0
