hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.12,0.044,0.0,0.0,0.0
1,0.11,0.04,0.0,0.0,0.0
2,0.12,0.043,0.0,0.0,0.0
3,0.12,0.044,0.0,0.0,0.0
4,0.68,0.247,0.0,0.0,0.0
5,0.21,0.076,0.0,0.0,0.0
6,0.48,0.174,0.0,0.0,0.0
7,2.33,0.848,0.0,0.0,0.0
8,1.34,0.488,0.0,0.0,0.0
9,0.16,0.058,0.0,0.0,0.0
10,0.76,0.276,0.0,0.0,0.0
11,0.16,0.058,0.0,0.0,0.0
12,0.17,0.062,0.0,0.0,0.0
13,0.17,0.062,0.0,0.0,0.0
14,0.16,0.058,0.0,0.0,0.0
15,0.73,0.265,0.0,0.0,0.0
16,0.17,0.062,0.0,0.0,0.0
17,0.35,0.128,0.0,0.0,0.0
18,3.47,1.263,0.0,0.0,0.0
19,1.3,0.473,0.0,0.0,0.0
20,2.39,0.869,0.0,0.0,0.0
21,0.52,0.189,0.0,0.0,0.0
22,1.83,0.666,0.0,0.0,0.0
23,0.8,0.291,0.0,0.0,0.0
