hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.73,0.237,0.0,0.0,0.0
1,0.17,0.055,0.0,0.0,0.0
2,0.17,0.055,0.0,0.0,0.0
3,0.27,0.088,0.0,0.0,0.0
4,0.61,0.198,0.0,0.0,0.0
5,0.16,0.052,0.0,0.0,0.0
6,0.45,0.147,0.0,0.0,0.0
7,3.72,1.212,0.0,0.0,0.0
8,2.07,0.674,0.0,0.0,0.0
9,0.16,0.052,0.0,0.0,0.0
10,0.15,0.049,0.0,0.0,0.0
11,0.81,0.264,0.0,0.0,0.0
12,0.16,0.052,0.0,0.0,0.0
13,0.17,0.055,0.0,0.0,0.0
14,0.16,0.052,0.0,0.0,0.0
15,0.74,0.241,0.0,0.0,0.0
16,0.16,0.052,0.0,0.0,0.0
17,0.17,0.055,0.0,0.0,0.0
18,2.98,0.97,0.0,0.0,0.0
19,1.96,0.639,0.0,0.0,0.0
20,1.69,0.551,0.0,0.0,0.0
21,0.35,0.114,0.0,0.0,0.0
22,0.87,0.284,0.0,0.0,0.0
23,0.22,0.072,0.0,0.0,0.0
