hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,1.31,0.398,0.0,0.0,0.0
1,1.96,0.595,0.0,0.0,0.0
2,0.15,0.045,0.0,0.0,0.0
3,0.17,0.051,0.0,0.0,0.0
4,0.81,0.246,0.0,0.0,0.0
5,0.17,0.051,0.0,0.0,0.0
6,0.17,0.051,0.0,0.0,0.0
7,0.41,0.125,0.0,0.0,0.0
8,0.39,0.119,0.0,0.0,0.0
9,2.17,0.659,0.0,0.0,0.0
10,1.27,0.386,0.0,0.0,0.0
11,3.82,1.16,0.0,0.0,0.0
12,2.38,0.723,0.0,0.0,0.0
13,2.05,0.623,0.0,0.0,0.0
14,1.19,0.362,0.0,0.0,0.0
15,0.35,0.106,0.0,0.0,0.0
16,0.75,0.228,0.0,0.0,0.0
17,0.17,0.051,0.0,0.0,0.0
18,0.17,0.051,0.0,0.0,0.0
19,0.18,0.054,0.0,0.0,0.0
20,1.65,0.501,0.0,0.0,0.0
21,2.29,0.696,0.0,0.0,0.0
22,0.31,0.094,0.0,0.0,0.0
23,0.72,0.219,0.0,0.0,0.0
