hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.52,0.15,0.0,0.0,0.0
1,1.19,0.344,0.0,0.0,0.0
2,0.52,0.15,0.0,0.0,0.0
3,0.52,0.15,0.0,0.0,0.0
4,0.51,0.147,0.0,0.0,0.0
5,0.51,0.147,0.0,0.0,0.0
6,0.51,0.147,0.0,0.0,0.0
7,2.35,0.679,0.0,0.0,0.0
8,3.05,0.882,0.0,0.0,0.0
9,0.5,0.144,0.0,0.0,0.0
10,0.51,0.147,0.0,0.0,0.0
11,1.16,0.335,0.0,0.0,0.0
12,0.51,0.147,0.0,0.0,0.0
13,0.51,0.147,0.0,0.0,0.0
14,0.51,0.147,0.0,0.0,0.0
15,0.51,0.147,0.0,0.0,0.0
16,1.21,0.349,0.0,0.0,0.0
17,0.61,0.176,0.0,0.0,0.0
18,0.61,0.176,0.0,0.0,0.0
19,0.57,0.165,0.0,0.0,0.0
20,0.77,0.223,0.0,0.0,0.0
21,4.7,1.358,0.0,0.0,0.0
22,2.91,0.841,0.0,0.0,0.0
23,1.27,0.367,0.0,0.0,0.0
