hour,kwh,price,uncharged_kwh,offpeak_kwh,offpeak_price
0,0.17,0.059,0.0,0.0,0.0
1,0.46,0.159,0.0,0.0,0.0
2,0.38,0.132,0.0,0.0,0.0
3,0.18,0.063,0.0,0.0,0.0
4,0.18,0.063,0.0,0.0,0.0
5,0.18,0.062,0.0,0.0,0.0
6,1.03,0.357,0.0,0.0,0.0
7,2.33,0.809,0.0,0.0,0.0
8,1.44,0.5,0.0,0.0,0.0
9,0.16,0.055,0.0,0.0,0.0
10,0.17,0.059,0.0,0.0,0.0
11,0.82,0.285,0.0,0.0,0.0
12,0.39,0.135,0.0,0.0,0.0
13,0.68,0.236,0.0,0.0,0.0
14,0.16,0.055,0.0,0.0,0.0
15,0.17,0.059,0.0,0.0,0.0
16,0.16,0.055,0.0,0.0,0.0
17,0.17,0.059,0.0,0.0,0.0
18,0.7,0.243,0.0,0.0,0.0
19,0.27,0.094,0.0,0.0,0.0
20,3.27,1.135,0.0,0.0,0.0
21,1.88,0.653,0.0,0.0,0.0
22,0.48,0.167,0.0,0.0,0.0
23,0.82,0.285,0.0,0.0,0.0
